facility_id,facility_name,city,state,zip_code
f99c74cc-7d1a-3f95-9a33-4a9357bf2f2a,UMASS MEMORIAL MEDICAL CENTER INC,WORCESTER,MA,01655
6f122869-a856-3d65-8db9-099bf4f5bbb8,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,BURLINGTON,MA,01803
465de31f-3098-365c-af70-48a071e1f5aa,METROWEST MEDICAL CENTER,FRAMINGHAM,MA,01701
1eaf97fa-9de6-38de-a9c4-6efe5dc574be,ST VINCENT HOSPITAL,WORCESTER,MA,01608
80e919cc-df1a-3838-b75e-541564a286e5,NANTUCKET COTTAGE HOSPITAL,NANTUCKET,MA,02554
56e0b3b3-4fac-3776-8fc9-7b465eb2fc17,FAIRVIEW HOSPITAL,GREAT BARRINGTON,MA,01230
161a799c-4894-36f6-8ca7-2a71c8107f79,ATHOL MEMORIAL HOSPITAL,ATHOL,MA,01331
956ccb85-bea0-30f9-af48-52f5dd95ff72,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,BRIGHTON,MA,02135
d7b11827-25f2-350b-bcd8-939fc59851b0,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,02115
5103c940-0c08-392f-95cd-446e0cea042a,SHRINERS' HOSPITAL FOR CHILDREN (THE),SPRINGFIELD,MA,01104
ff9863d3-3fa3-3861-900e-f00148f5d9c2,SHRINERS' HOSPITAL FOR CHILDREN - BOSTON  THE,BOSTON,MA,02114
72a10c1a-ee7c-3a01-97b1-33f63244c13e,Edith Nourse Rogers Memorial Veterans Hospital (Bedford VA),Bedford,MA,01730
1bd44727-a8e3-322d-9c14-a5c529d6ce6d,VA Boston Healthcare System  Brockton Campus,Brockton,MA,02301
be4c63f3-8d38-3fa9-a183-62045b5c85f6,VA Boston Healthcare System  Jamaica Plain Campus,Jamaica Plain,MA,02130
a7500efb-720b-3e44-990a-0c3edc5a3990,VA Boston Healthcare System  West Roxbury Campus,West Roxbury,MA,02132
ae67223f-808e-33d3-a83e-066deebf35ed,VA Central Western Massachusetts Healthcare System,Leeds,MA,01053
05462bf2-25d4-3ecd-afdf-bb3e1140929a,Causeway OPC,Boston,MA,02114
5259a506-b80b-3ed5-9c30-83188eabf33e,Fitchburg Outpatient Clinic,Fitchburg,MA,01420
53b25c4b-e95f-3dd1-8e69-d427cdd83631,Framingham Outpatient Clinic,Framingham,MA,01702
c1c0c43e-ca87-3ee5-9549-be3f28afde81,Greenfield Outpatient Clinic,Greenfield,MA,01301
ed146054-9dd5-3f0b-83df-d29d983039c3,Hyannis Outpatient Clinic,Hyannis,MA,02601
8881e3ee-e915-31b3-867f-8e2fbe41e887,Lynn Community Based Outpatient Clinic (CBOC),Lynn,MA,01904
